Time,EMG,Envelope,ECG,Beat_ecg,PPG,Beat_ppg
210818185949862,1.534,1.5823,1.2279,0.0032,3.1454,3.1454
210818185949882,1.5405,1.5727,1.2891,0.0032,3.1486,3.1486
210818185949904,1.5469,1.5662,1.244,0.0032,3.1454,3.1486
210818185949926,1.534,1.5662,1.1666,0.0032,3.1486,3.1486
210818185949948,1.5727,1.5695,1.2375,0.0032,3.1454,3.1486
210818185949969,1.5469,1.5727,1.3793,3.0745,3.1486,1.8466
210818185949990,1.5147,1.5759,1.3245,3.0745,3.1486,3.1454
210818185950011,1.5179,1.5759,1.36,3.0712,3.1454,0.0709
210818185950033,1.5243,1.5759,1.3568,3.0745,3.1454,0.0741
210818185950055,1.5243,1.5727,1.4212,3.0745,2.6845,0.0741
210818185950076,1.5179,1.5759,1.534,3.0712,0.0709,0.0709
210818185950096,1.5308,1.5662,1.5437,3.0745,0.0709,0.0709
210818185950118,1.5437,1.5662,1.5759,3.0745,0.0741,0.0709
210818185950139,1.563,1.5727,1.7048,3.0745,0.0741,0.0741
210818185950160,1.5372,1.5759,1.5791,3.0745,0.0741,0.0709
210818185950183,1.5437,1.5662,1.7016,3.0745,0.0741,0.0741
210818185950204,1.5469,1.563,1.6919,3.0745,0.0709,0.0709
210818185950225,1.5437,1.5598,1.7274,3.0745,0.0677,0.0677
210818185950247,1.5566,1.5566,1.7886,0.0032,0.0677,0.0645
210818185950268,1.5405,1.5566,1.7983,0.0032,0.0645,0.0645
210818185950289,1.505,1.5598,1.8047,0.0032,0.0677,0.0645
210818185950311,1.5372,1.5598,1.7886,0.0032,0.0709,0.0677
210818185950332,1.5566,1.563,1.8402,0.0032,0.0709,0.0677
210818185950353,1.534,1.5598,1.8305,0.0032,0.0612,0.058
210818185950374,1.5372,1.5566,1.8337,0.0032,0.058,0.058
210818185950396,1.5437,1.5598,1.8369,0.0032,0.0677,0.0773
210818185950417,1.5533,1.5566,1.8853,0.0032,0.0741,0.0709
210818185950438,1.5695,1.5533,1.8531,0.0032,0.1031,0.0999
210818185950460,1.5243,1.5566,1.8724,0.0032,0.0935,0.0902
210818185950481,1.5372,1.5598,1.8531,0.0032,0.0838,0.0806
210818185950502,1.5759,1.5598,1.8659,0.0032,0.0806,0.087
210818185950524,1.5598,1.5533,1.8369,0.0032,0.0773,0.0741
210818185950545,1.5501,1.5469,1.8402,0.0032,0.0709,0.087
210818185950566,1.5469,1.5437,1.8337,0.0032,0.0709,0.0645
210818185950589,1.5437,1.5405,1.8144,0.0032,0.0612,0.0612
210818185950610,1.5372,1.5501,1.795,0.0032,0.0741,0.0677
210818185950631,1.5276,1.5662,1.7757,0.0032,0.0645,0.0645
210818185950653,1.5372,1.5856,1.8015,0.0032,0.0709,0.0677
210818185950673,1.5179,1.5952,1.8112,0.0032,0.0612,0.0612
210818185950694,1.505,1.6114,1.7822,0.0032,0.0677,0.0548
210818185950716,1.534,1.6081,1.7274,0.0032,0.0838,0.0806
210818185950737,1.5114,1.6081,1.7274,0.0032,0.0741,0.0709
210818185950758,1.5308,1.5985,1.7048,0.0032,0.0741,0.0741
210818185950779,1.534,1.5888,1.7177,0.0032,0.0709,0.0612
210818185950800,1.5533,1.5856,1.6919,0.0032,0.0451,0.0451
210818185950821,1.5566,1.5695,1.679,0.0032,0.0483,0.0419
210818185950843,1.5469,1.5598,1.6855,0.0032,0.1772,0.1934
